entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX
10367,0.6050625,-12,0.015401692,0.7657797
10368,1.4220338,-12,0.43779287,0.43779287
10369,1.204763,-12,0.63945967,0.63945967
10370,1.9444399,12,1.4313538,1.225176
10371,3.8443117,12,0.5235996,0.5235996
10372,2.0339568,12,1.0070136,1.0070136
10373,3.9620888,-12,0.52372026,0.48941475
10374,0.8945341,12,1.1391879,0.996257
10375,4.943544,-12,1.0048331,1.0048331
10376,0.9801186,12,0.9217905,0.9217905
10377,2.1254768,12,1.0140771,1.0140771
10378,0.8344661,-12,1.0552717,1.0552717
10379,1.6357275,12,1.3172573,1.1118777
10380,1.0947456,12,2.1738465,1.0220282
10381,0.7943897,12,0.5765488,1.0259178
10382,0.9231541,-12,1.245912,1.2203188
10383,4.816171,12,1.2317915,1.2317915
10384,1.970214,12,0.5017172,0.5017172
10385,1.5439473,12,0.5026688,0.5026688
10386,3.0954092,12,1.0421234,1.0421234
10387,2.0805755,-12,9.90497e-10,0.85726786
10388,1.3823569,12,0.5118054,0.42383888
10389,1.8765476,-12,1.4559485,1.2711868
10390,0.9487954,-12,0.897703,0.897703
10391,1.3407518,12,1.0437043,0.8904639
10392,0.34582987,12,1.1352562,0.9259249
10393,3.6021059,12,0.5088625,0.5088625
10394,0.7588564,12,1.0734149,1.000344
10395,0.75713193,12,5.7209606,0.9498906
10396,1.5314115,12,1.895805,1.6750951
10397,1.6846017,-12,1.0991113,0.95045197
10398,2.2557654,12,0.86924106,0.86924106
10399,0.84267503,12,1.105916,0.90211946
10400,1.6563652,-12,0.90761673,0.90761673
10401,1.5641748,12,1.2291118,1.0587057
10402,1.884329,-12,1.0528706,1.0528706
10403,2.3117788,12,1.2366391,1.2366391
10404,0.46295276,12,0.54264414,0.54264414
10405,0.60873497,12,1.2062098,1.0180612
10406,2.1302974,12,0.72928214,0.72928214
10407,2.290744,-12,1.1121798,1.1121798
10408,1.1937304,12,0.49872726,0.49872726
10409,1.9246207,12,1.5914412,1.1629019
10410,3.1335766,12,0.99735475,0.99735475
10411,1.5926596,12,0.95442563,0.95442563
10412,2.7141821,12,1.0299735,1.0299735
10413,0.79161334,12,1.1179545,0.9217905
10414,0.9251295,12,1.4939706,1.2279272
10415,0.8850614,12,0.9951677,0.82407373
10416,2.148589,12,1.285976,1.1256713
10417,2.174424,12,1.1171852,0.9492523
10418,1.9063838,12,1.3205594,1.0678217
10419,1.4843339,-12,0.6585757,0.6585757
10420,3.0568562,-12,0.6196318,0.6196318
10421,3.3740287,12,1.301944,1.0416265
10422,1.2353483,12,0.5938063,0.54020643
10423,1.4011807,12,0.5819344,0.5819344
10424,2.4288604,-12,0.8808343,0.8808343
10425,1.4850667,-12,0.5427842,0.474837
10426,1.1681995,12,0.57519174,0.57519174
10427,1.0014347,12,1.1217139,1.1217139
10428,0.7620411,12,0.8853971,0.7372273
10429,0.8239903,12,0.5867701,0.6249607
10430,1.5883847,12,1.219554,1.219554
10431,1.426909,-12,0.97364694,0.97364694
10432,3.1508014,-12,0.5743891,0.5743891
10433,1.8515295,12,0.9404902,0.9404902
10434,1.9685749,12,0.9957682,0.82624286
10435,0.66669774,12,1.0355681,0.87791336
10436,4.7086215,12,0.8500834,0.8500834
10437,3.3500848,12,1.006285,1.006285
10438,2.8281448,12,0.63630474,0.63630474
10439,1.1546279,12,1.0604446,1.0604446
10440,2.5663745,12,1.0567276,1.0567276
10441,2.9959657,12,0.9942316,0.9942316
10442,0.8857894,12,1.1035037,0.9233796
10443,2.175359,12,1.2110132,1.0440623
10444,2.7637055,12,0.63630474,0.63630474
10445,1.0379708,12,0.44923642,0.38814607
10446,1.6191047,-12,0.92981046,0.92981046
10447,1.113898,-12,1.0640717,0.93706316
10448,0.5508701,-12,0.9699505,0.93611187
10449,0.9677104,12,0.76303035,0.76303035
10450,1.2827855,12,0.90036225,0.90036225
10451,1.50558,-12,0.94224864,0.94224864
10452,1.3336357,12,0.6002196,0.6002196
10453,3.3360765,12,0.5196288,0.5196288
10454,0.89388704,12,0.9746836,0.8491648
10455,2.413716,-12,0.91594803,0.91594803
10456,0.796852,12,1.0062388,1.0062388
10457,3.952745,12,1.1602708,0.98756814
10458,2.7193708,12,1.0493495,1.0493495
10459,2.8195887,-12,0.4458525,0.4458525
10460,3.1285548,12,0.9678367,0.9678367
10461,1.1182549,-12,1.0916239,0.9693931
10462,4.950477,12,1.0023164,1.0023164
10463,2.5521338,12,0.65681046,0.65681046
10464,1.1046107,12,0.9990719,0.8561166
10465,2.434416,-12,0.91594803,0.91594803
10466,3.1699572,-12,1.3092028,1.1437652
10467,0.9766019,12,0.5674146,0.5674146
10468,1.8389316,12,1.1843022,1.1843022
10469,0.9436435,12,0.9003438,0.9003438
10470,3.0267036,12,0.93361264,0.93361264
10471,2.8112462,12,1.327501,1.1067426
10472,0.95096505,12,0.8575292,0.7289908
10473,4.2023473,12,0.90407324,0.90407324
10474,1.5322515,-12,0.0009922705,1.215949
10475,0.3742195,12,1.8712995,1.7572097
10476,2.4058607,-12,1.0479026,1.0479026
10477,3.543873,12,1.0219349,1.0219349
10478,0.689184,12,0.82323843,0.82323843
10479,4.2017837,-12,0.8698871,0.7384801
10480,1.5045246,12,1.7550397,1.6258755
10481,2.5119905,12,0.96172935,0.96172935
10482,0.9194314,12,0.92288,0.92288
10483,1.9732672,12,1.286518,1.0017313
10484,2.030913,-12,0.84186697,0.736281
10485,2.4023545,12,0.9073931,0.9073931
10486,0.72823066,12,1.0591393,0.9271632
10487,0.2897602,12,1.2894678,1.0694201
10488,0.24380335,12,1.4690773,1.0170683
10489,1.096276,12,1.1736463,0.938829
10490,1.7446187,12,1.7403389,1.7403389
10491,4.5345926,12,0.60762024,0.60762024
10492,2.4304688,12,1.0654807,0.9073931
10493,1.9600765,12,0.8753097,0.8753097
10494,0.7530704,12,0.72009784,0.64273196
10495,0.6553064,12,1.4391996,1.4391996
10496,1.5976471,12,0.9886512,0.9886512
10497,1.2978214,12,0.70922285,0.6814064
10498,1.2549028,12,0.5132946,0.5132946
10499,1.2081481,-12,1.1934245,1.0447406
10500,1.7770253,12,1.3958309,1.1873895
10501,1.6813201,12,0.7490962,0.7490962
10502,0.6312798,12,0.870937,0.7388444
10503,0.80924845,12,0.7529948,0.7529948
10504,1.9449128,12,1.2719685,1.2719685
10505,0.48003432,-12,0.59252036,0.53075707
10506,4.128222,-12,1.2829063,1.0970207
10507,0.66535914,12,0.9899138,0.5567198
10508,1.0725776,12,1.0423379,1.0423379
10509,1.5666966,12,0.9715136,0.9715136
10510,1.675107,12,1.0879349,0.91919327
10511,0.38565785,12,0.7668597,0.65387297
10512,2.5880287,12,0.9912395,0.9912395
10513,0.5011265,12,1.0196702,0.9217905
10514,1.5749582,12,1.0441921,1.0441921
10515,4.464431,12,1.5914236,1.5914236
10516,0.90161926,-12,0.8140576,0.69797707
10517,1.0565807,12,0.8440283,0.8440283
10518,0.9358281,-12,0.8892981,0.76822764
10519,0.60184103,12,1.3157223,1.1078688
10520,1.1030802,12,0.765206,0.765206
10521,0.6199621,-12,0.701533,0.701533
10522,3.1490102,12,1.0254536,1.0254536
10523,1.1965197,12,1.0804027,0.92633265
10524,3.3223314,12,0.993008,0.993008
10525,0.91136515,12,0.012601145,1.1355677
10526,0.8857599,12,1.1327813,0.97478396
10527,0.64844817,12,0.67528677,0.56607884
10528,1.8695933,12,1.0309087,1.0309087
10529,1.5160106,12,1.1495051,0.898946
10530,0.72537357,-12,0.52935016,0.9504289
10531,1.3185973,-12,0.41617936,0.41617936
10532,0.9631329,-12,1.3575983,1.0285156
10533,2.218248,12,0.60905164,0.60905164
10534,0.93038803,-12,1.0681685,0.90771693
10535,1.51088,12,1.1587267,1.0061706
10536,2.1624646,12,1.013003,1.013003
10537,1.2959596,12,1.2431171,1.2431171
10538,2.1234689,12,0.8297101,0.8297101
10539,2.0700338,12,1.0038682,0.72065806
10540,0.38474098,12,0.6107127,0.5506423
10541,1.5928901,12,1.1228596,0.9217905
