N,POT,N/POT,error
NP,NPBDT, ,
18.0,2.568e+20,7.009345794392523,1.6521186476321201
NP,NPL, ,
78.0,2.568e+20,30.373831775700936,3.4391592158597537
NP,None, ,
6696.0,2.568e+20,2607.4766355140187,31.864910506976297
NPLowE,NPBDT, ,
6.0,2.568e+20,2.336448598130841,0.9538511459436051
NPLowE,NPL, ,
48.0,2.568e+20,18.69158878504673,2.6978984541571296
NPLowE,None, ,
3489.0,2.568e+20,1358.6448598130842,23.001463279785607
ZP,ZPBDT, ,
10.0,2.568e+20,3.894080996884735,1.231416534333481
ZP,ZPLOOSESEL, ,
238.0,2.568e+20,92.6791277258567,6.007495568746695
ZP,None, ,
2527.0,2.568e+20,984.0342679127725,19.575262815509042
ZPLowE,ZPBDT, ,
8.0,2.568e+20,3.115264797507788,1.101412431754747
ZPLowE,ZPLOOSESEL, ,
161.0,2.568e+20,62.69470404984423,4.941034867776293
ZPLowE,None, ,
1451.0,2.568e+20,565.0311526479751,14.833330961636223
