N,POT,N/POT,error
NP,NPBDT, ,
20.0,1.67e+20,11.976047904191617,2.6779257215566346
NP,NPL, ,
53.0,1.67e+20,31.736526946107787,4.35934723909013
NP,None, ,
4338.0,1.67e+20,2597.604790419162,39.43921868281464
NPLowE,NPBDT, ,
6.0,1.67e+20,3.5928143712574854,1.466760325019867
NPLowE,NPL, ,
28.0,1.67e+20,16.766467065868266,3.1685644443887315
NPLowE,None, ,
2133.0,1.67e+20,1277.245508982036,27.655337098815544
ZP,ZPBDT, ,
8.0,1.67e+20,4.790419161676647,1.6936689369737667
ZP,ZPLOOSESEL, ,
153.0,1.67e+20,91.61676646706587,7.406776572965857
ZP,None, ,
1646.0,1.67e+20,985.6287425149701,24.29396739533029
ZPLowE,ZPBDT, ,
6.0,1.67e+20,3.5928143712574854,1.466760325019867
ZPLowE,ZPLOOSESEL, ,
104.0,1.67e+20,62.27544910179641,6.106610195919503
ZPLowE,None, ,
940.0,1.67e+20,562.874251497006,18.358933792522027
