N,POT,N/POT,error
NP,NPBDT, ,
29.0,2.61e+20,11.111111111111112,2.0632815353005762
NP,NPL, ,
82.0,2.61e+20,31.4176245210728,3.469496221508589
NP,None, ,
6792.0,2.61e+20,2602.2988505747126,31.57608854871497
NPLowE,NPBDT, ,
11.0,2.61e+20,4.21455938697318,1.2707374675691188
NPLowE,NPL, ,
48.0,2.61e+20,18.390804597701152,2.6544839962741413
NPLowE,None, ,
3464.0,2.61e+20,1327.2030651340997,22.55009803764316
ZP,ZPBDT, ,
16.0,2.61e+20,6.130268199233717,1.5325670498084292
ZP,ZPLOOSESEL, ,
269.0,2.61e+20,103.06513409961687,6.283992132895298
ZP,None, ,
2643.0,2.61e+20,1012.6436781609195,19.697362350999164
ZPLowE,ZPBDT, ,
13.0,2.61e+20,4.980842911877395,1.3814372702927162
ZPLowE,ZPLOOSESEL, ,
191.0,2.61e+20,73.1800766283525,5.295124506162932
ZPLowE,None, ,
1537.0,2.61e+20,588.8888888888889,15.020916309511616
