N,POT,N/POT,error
NP,NPBDT, ,
15.0,1.55e+20,9.67741935483871,2.4986989330370437
NP,NPL, ,
57.0,1.55e+20,36.7741935483871,4.8708609259811295
NP,None, ,
3960.0,1.55e+20,2554.8387096774195,40.59905218723168
NPLowE,NPBDT, ,
6.0,1.55e+20,3.8709677419354844,1.5803159630859214
NPLowE,NPL, ,
33.0,1.55e+20,21.290322580645164,3.7061694493793738
NPLowE,None, ,
2001.0,1.55e+20,1290.9677419354841,28.859702253348445
ZP,ZPBDT, ,
7.0,1.55e+20,4.516129032258065,1.706936329719091
ZP,ZPLOOSESEL, ,
150.0,1.55e+20,96.7741935483871,7.901579815429607
ZP,None, ,
1510.0,1.55e+20,974.1935483870969,25.07014093900058
ZPLowE,ZPBDT, ,
4.0,1.55e+20,2.580645161290323,1.2903225806451615
ZPLowE,ZPLOOSESEL, ,
107.0,1.55e+20,69.03225806451614,6.673600279218453
ZPLowE,None, ,
896.0,1.55e+20,578.0645161290323,19.311780060768733
